Logical address: 16916 ; Physical address: 65556 ; Signed Byte Value: 0
Logical address: 62493 ; Physical address: 65309 ; Signed Byte Value: 0
Logical address: 30198 ; Physical address: 65270 ; Signed Byte Value: 29
Logical address: 53683 ; Physical address: 64947 ; Signed Byte Value: 108
Logical address: 40185 ; Physical address: 64761 ; Signed Byte Value: 0
Logical address: 28781 ; Physical address: 64365 ; Signed Byte Value: 0
Logical address: 24462 ; Physical address: 64142 ; Signed Byte Value: 23
Logical address: 48399 ; Physical address: 63759 ; Signed Byte Value: 67
Logical address: 64815 ; Physical address: 63535 ; Signed Byte Value: 75
Logical address: 18295 ; Physical address: 63351 ; Signed Byte Value: -35
Logical address: 12218 ; Physical address: 63162 ; Signed Byte Value: 11
Logical address: 22760 ; Physical address: 62952 ; Signed Byte Value: 0
Logical address: 57982 ; Physical address: 62590 ; Signed Byte Value: 56
Logical address: 27966 ; Physical address: 62270 ; Signed Byte Value: 27
Logical address: 54894 ; Physical address: 62062 ; Signed Byte Value: 53
Logical address: 38929 ; Physical address: 61713 ; Signed Byte Value: 0
Logical address: 32865 ; Physical address: 61537 ; Signed Byte Value: 0
Logical address: 64243 ; Physical address: 61427 ; Signed Byte Value: -68
Logical address: 2315 ; Physical address: 60939 ; Signed Byte Value: 66
Logical address: 64454 ; Physical address: 60870 ; Signed Byte Value: 62
Logical address: 55041 ; Physical address: 60417 ; Signed Byte Value: 0
Logical address: 18633 ; Physical address: 60361 ; Signed Byte Value: 0
Logical address: 14557 ; Physical address: 60125 ; Signed Byte Value: 0
Logical address: 61006 ; Physical address: 59726 ; Signed Byte Value: 59
Logical address: 62615 ; Physical address: 65431 ; Signed Byte Value: 37
Logical address: 7591 ; Physical address: 59559 ; Signed Byte Value: 105
Logical address: 64747 ; Physical address: 59371 ; Signed Byte Value: 58
Logical address: 6727 ; Physical address: 58951 ; Signed Byte Value: -111
Logical address: 32315 ; Physical address: 58683 ; Signed Byte Value: -114
Logical address: 60645 ; Physical address: 58597 ; Signed Byte Value: 0
Logical address: 6308 ; Physical address: 58276 ; Signed Byte Value: 0
Logical address: 45688 ; Physical address: 57976 ; Signed Byte Value: 0
Logical address: 969 ; Physical address: 57801 ; Signed Byte Value: 0
Logical address: 40891 ; Physical address: 57531 ; Signed Byte Value: -18
Logical address: 49294 ; Physical address: 57230 ; Signed Byte Value: 48
Logical address: 41118 ; Physical address: 56990 ; Signed Byte Value: 40
Logical address: 21395 ; Physical address: 56723 ; Signed Byte Value: -28
Logical address: 6091 ; Physical address: 56523 ; Signed Byte Value: -14
Logical address: 32541 ; Physical address: 56093 ; Signed Byte Value: 0
Logical address: 17665 ; Physical address: 55809 ; Signed Byte Value: 0
Logical address: 3784 ; Physical address: 55752 ; Signed Byte Value: 0
Logical address: 28718 ; Physical address: 64302 ; Signed Byte Value: 28
Logical address: 59240 ; Physical address: 55400 ; Signed Byte Value: 0
Logical address: 40178 ; Physical address: 64754 ; Signed Byte Value: 39
Logical address: 60086 ; Physical address: 55222 ; Signed Byte Value: 58
Logical address: 42252 ; Physical address: 54796 ; Signed Byte Value: 0
Logical address: 44770 ; Physical address: 54754 ; Signed Byte Value: 43
Logical address: 22514 ; Physical address: 54514 ; Signed Byte Value: 21
Logical address: 3067 ; Physical address: 54267 ; Signed Byte Value: -2
Logical address: 15757 ; Physical address: 53901 ; Signed Byte Value: 0
Logical address: 31649 ; Physical address: 53665 ; Signed Byte Value: 0
Logical address: 10842 ; Physical address: 53338 ; Signed Byte Value: 10
Logical address: 43765 ; Physical address: 53237 ; Signed Byte Value: 0
Logical address: 33405 ; Physical address: 52861 ; Signed Byte Value: 0
Logical address: 44954 ; Physical address: 52634 ; Signed Byte Value: 43
Logical address: 56657 ; Physical address: 52305 ; Signed Byte Value: 0
Logical address: 5003 ; Physical address: 52107 ; Signed Byte Value: -30
Logical address: 50227 ; Physical address: 51763 ; Signed Byte Value: 12
Logical address: 19358 ; Physical address: 51614 ; Signed Byte Value: 18
